codelettres	numero	categorie	compositeurs	oeuvres	interpretes	remarques
tel	7	classique	Telemann, Georg Philipp	6 concertos pour instruments à vent	Musica Antiqua Köln, R. Goebel	
tel	8	classique	Telemann, Georg Philipp	douze fantaisies pour flûte traversière	Bartold Quijken	
tipp	1	classique	Tippett, Michael	4 Symphonies - Suite en ré pour la naissance du prince Charles	Chicago Symphony Orchestra - G. Solti	3 CD
tipp	2	classique	Tippett - Britten	Quatuor à cordes n°4 (Tippett) - Quatuor à cordes n°3 (Britten)	Quatuor Linsay 	
tipp	3	classique	Tippett, Michael	Oeuvres vocales diverses	Christ Church Cathedral Choir, S. Darlington	
tit	1	classique	Titelouze	Hymne, Magnificat	Jean-Charles Ablitzer	
tou	1	classique	Tournemire, Charles	Symphonie n°7	Philharmonique de Bruxelles	2 CD
tom	1	classique	Tomasi, A. Jolivet	Concerto pour trompette (Tomasi), Concertos pour trompette etc. (Jolivet)	Winton Marsalis (trompette) - Philharmonia Orchestra, Eza-Pekka Salonen	
torm	1	classique	Tormis, Veiljo	Forgotten People	Estonian Philharmonic Chamber Choir	2 CD
tye	1	classique	Tye, Christopher	Consort Musicke set for viols	Jordi Savall etc.	
tubi	1	classique	Tubin, Edouard	Double Concerto pour contrebasse - Valse triste - Ballade pour violon et orchestre - Concerto pour violon n°2 - Suite de danses estoniennes	Neeme Jarvi etc. - orchestre symphonique de Gothenburg	
tubi	2	classique	Tubin, Edouard	Intégrale des oeuvres pour violon, alto et piano	Arvo Leibur, Petra Valhe, Vardo Rumessen	2 CD
ullm	1	classique	Ullmann, Viktor	Concerto pour piano op.25, Variations op.5, Sinfonie	Konrad Richter ; Israel Yinon	1 CD
vale	2	classique	Valen, Fartein	intégrale des (4) Symphonies	Bergen Philharmonic Orchestra, Aldo Ceccato	2 CD
vanh	1	classique	Vanhal, Ian Krtitel	Symphonies en la majeur, sol mineur, ré majeur	Prague Chamber Orchestra, Oldrich Vlcek	
var	1	classique	Varèse, Edgar	Ionisation, Amérique, Density, Offrande, Arcana, Octandre, intégrale pour petit orchestre	Pierre Boulez	
vil	2	classique	Villa-Lobos, Heitor	Bachianas Brasileiras. Concerto pour guitare	Barbara Hendricks, Alfonso Moreno, Royal philharmonic orchestra, Enrique Batiz	2 CD
vil	6	classique	Villa-Lobos, Heitor	Lieder. Musique de chambre		
vier	1	classique	Vieru, Anatol	Concerto pour violon, violoncelle et orchestre. Symphonie n°5.	Choeur et orchestre de la radio roumaine	
vil	7	classique	Villa-Lobos, Heitor	Mélodies	Carolyn Scimone, Marc Heller, Alfred Heller	
vil	5	classique	Villa-Lobos, Heitor	Concertos pour piano 1 à 5	Cristina Ortiz, Royal philharmonic orchestra, Miguel Gomez-Martinez	2 CD
vil	4	classique	Villa-Lobos, Heitor	Quatuors à cordes 4 à 6	Quatuor Bessler-Reis	
vil	3	classique	Villa-Lobos, Heitor	Intégrale pour guitare	Turibio Santos	2 CD
vil	1	classique	Villa-Lobos, Heitor	Préludes, études	Eduardo Fernandez	
vil	8	classique	Villa-Lobos, Heitor	Quatuors à cordes 12 à 14	Quatuor Bessler-Reiss	
jsb	71	classique	Bach, Jean-Sébastien	Préludes et Fugues, Chorals	François-Henri Houbart, orgue	
jsb	70	classique	Bach, Jean-Sébastien	Sonates et Partitas pour violon seul	Gérard Poulet	Coffret - 2 CD
jsb	72	classique	Bach, Jean-Sébastien	L'oeuvre pour orgue intégrale Vol. 7	André Isoir	
boc	1	classique	Boccherini, Luigi	Quintettes avec guitare N° 3 & 9	Pepe Romero, Academy of Saint Martin in the Fields	
boc	2	classique	Boccherini, Luigi	Concerti pour violoncelle - Sinfonie	Anner Bylsma, Tafelsmusik	
boc	3	classique	Boccherini, Luigi	Trois Quintettes, G. 407-408-411	Patrick Cohen, Quatuor Mosaïques	
boe	1	classique	Boeswillwald, Pierre	Oeuvres diverses	Chrysopée électronique, Bourges	
viv	1	classique	Vivaldi, Antonio	Les quatre saisons	Simon Standage. The English Concert, Trevor Pinnock	
bond	1	classique	Bond, Capel	Six Concertos	Roy Goodman	
viv	6	classique	Vivaldi, Antonio	Stabat Mater. Concerto en sol mineur. Nisi Dominus	James Bowman. The Academy of ancient music, Christopher Hogwood	
bor	1	classique	Borodine, Prokofiev	2 Quatuors à cordes	Prague Quartet	
bib	1	classique	Biber, Heinrich Ignaz Franz	Requiem A 15, Vesperae A 32	Ton Koopman	
viv	13	classique	Vivaldi, Antonio	L'Estro Armonico, 12 Concertos	The Academy of ancient music, Christopher Hogwood	2 CD
bib	2	classique	Biber, Muffat	Suites et Sonates	Concentus Musicus Wien, Nikolaus Harnoncourt	
viv	30	classique	Vivaldi, Antonio	Les quatre saisons	Alice Harnoncourt. Contentus musicus Wien, Nikolaus Harnoncourt	
bib	3	classique	Biber, Valls	Missa scala aretina, Requiem	Gustav Leonhardt	
bib	4	classique	Biber, Heinrich Ignaz Franz	Sonates pour violon	Romanesca	Coffret - 2 CD
viv	21	classique	Vivaldi, Antonio	6 sonates pour violoncelle et basse continue	Anner Bylsma, Hideimi Suzuki, Jacques Ogg	
biz	2	classique	Bizet, Georges	L'Arlésienne, Musique de scène intégrale	Michel Plasson	
biz	6	classique	Bizet, Debussy	Symphony in C. "Jeux d'Enfats", Danses pour harpe et orchestre	Concertgebouw Orchestra, Amsterdam	
blo	1	classique	Bloch, Ernest	Trois suites pour violoncelle, "Baal Shem"	Rama Jucker, Robert Zimansky, Christoph Keller	
blo	2	classique	Bloch, Ernest	Schelomo, "Israel" Symphony	Utah Symphony Orchestra, Maurice Abravanel	
blw	1	classique	Blow, John	Venus and Adonis, Cupid and Death	The Consort of Musicke, Anthony Rooley	Coffret - 2 CD
viv	28	classique	Vivaldi, Antonio	Musique sacrée pour Contralto, Cordes et basse continue	Gérard Lesne. Ensemble Il Seminario musicale	
viv	31	classique	Vivaldi, Antonio	Concerti da camera vol. 1	Il Giardino Armonico	
viv	33	classique	Vivaldi, Antonio	Concerti da camera vol. 3	Il Giardino Armonico	
viv	12	classique	Vivaldi - Bach	Double concertos, Concertos pour violon	Pinchas Zukerman, Midori. Saint paul chamber orchestra, Pinchas Zukerman	
viv	16	classique	Vivaldi, Antonio	La Stravaganza, 12 Concertos	Monica Huggett. The Academy of ancient music, Christopher Hogwood	2 CD
viv	27	classique	Vivaldi, Antonio	Musique sacrée vol. 2	John Alldis Choir. English chamber orchestra, Vittorio Negri	
ber	1	classique	Berlioz, Hector	Symphonie Fantastique	Orchestre Symphonique de Montréal, Charles Dutoit	
ber	2	classique	Berlioz, Hector	Requiem, Symphonie funèbre et triomphale	London Symphony Orchestra & Chorus, Sir Colin Davis	
ber	3	classique	Berlioz, Hector	Ouvertures	London Symphony Orchestra, Sir Colin Davis	
viv	10	classique	Vivaldi - Tartini - Albinoni - Zipoli - Bellini	Concerto pour 2 trompettes, concertos pour trompette	Maurice André, Marcel Lagorce et divers orchestres	
ber	4	classique	Berlioz, Ravel, Debussy, Poulenc	Les Nuits d'Eté, Shéhérazade, Trois Chansons de Bilitis et autres	Ernest Ansermet, John Wustman	
viv	26	classique	Vivaldi, Antonio	Musique sacrée vol.3	John Alldis choir. English chamber orchestra, Vittorio Negri	
ber	5	classique	Berlioz, Hector	Te Deum	Claudio Abbado	
ber	7	classique	Berlioz, Pierné, Fauré, Dukas, Saint-Saëns, Chabrier, Debussy, Hahn	La Marseillaise + oeuvres variées	Jean-Pierre Jacquillat	
ber	9	classique	Berlioz, Hector	"Harold en Italie" Op. 16, "Tristia" Op. 18, "Les Troyens à Carthage"	SIr Colin Davis	
ber	13	classique	Berlioz, Hector	Les Nuits d'été - Lélio	Sir Colin Davis	
ber	14	classique	Berlioz, Hector	Requiem - Symphonie Fantastique	Boston Symphony, Charles Munch	Coffret - 2 CD
bern	1	classique	Bernstein, Leonard	Symphonie N° 1 et autres	Christa Ludwig, Mstislav Rostropovitch, Leonard Bernstein	
bern	3	classique	Bernstein, Leonard	Symphonies - "Jeremiah" - Serenade	Ludwig, Foss, Caballé, Wzger, Kremer, Bernstein	Coffret - 2 CD
viv	22	classique	Vivaldi, Antonio	Juditha Tiumphans	Rundfunk-Solistenvereinigung Berlin, Kammerorchester Berlin, Vittorio Negri	2 CD
viv	38	classique	Vivaldi, Antonio	Concerti pour viole d'amour, cordes et continuo	I Musici, Massimo Paris	
viv	24	classique	Vivaldi, Antonio	Concerti pour basson, cordes et basse continue	I Musici, Klaus Thunemann	
viv	45	classique	Vivaldi, Antonio	Concerti pour mandoline	Ugo Orlandi, Dorina Frati. I solisti veneti, Claudio Scimone	
viv	14	classique	Vivaldi, Antonio	Glorias RV 588 et RV 589	Lynda Russell, Patricia Kwella, Anne Wilkens, Kenneth Bowen. Choir of St. John's College, the Wren Orchestra, Dr. George Guest	
viv	20	classique	Vivaldi - Boccherini - Tartini	Concerti pour violoncelle	Mstislav Rostropovich. Collegium Musicum Zürich, Paul Sacher	
viv	8	classique	Vivaldi, Antonio	Concerti pour basson, cordes et continuo	I Musici, Klaus Thunemann	
viv	7	classique	Vivaldi - Frescobaldi - Palestrine - Locke - Gibbons - Byrd	La flûte à bec virtuose	Amsterdam Loeki stardust quartet	
viv	36	classique	Vivaldi, Antonio	Orlando Furioso (extraits)	I solisti veneti, Claudio Scimone	
viv	17	classique	Vivaldi, Antonio	Concerti pour violoncelle	Chritophe coin. The academy of ancient music, Christopher Hogwood	
viv	3	classique	Vivaldi, Antonio	Concerti pour guitare	Göran Söllscher. Camerata Berlin, Thomas Füri	
viv	5	classique	Vivaldi, Antonio	Concerti pour flûte	Jean-Pierre Rampal. I solisti veneti, Claudio Scimone	
viv	18	classique	Vivaldi, Antonio	12 concerti op. 8, Les quatre saisons	The academy of ancient music, Christopher Hogwood	2 CD
viv	32	classique	Vivaldi, Antonio	Concerti da camera vol. 2	Il Giardino Armonici	
viv	15	classique	Vivaldi, Antonio	Concerti pour flûte	Orchestra of the XVIII th century, Frans Brüggen	
viv	37	classique	Vivaldi, Antonio	L'estro armonico	Virtuosi di Roma, Renato Fasano	2 CD
viv	11	classique	Vivaldi, Antonio	Concerti pour hautbois, cordes et continuo	Maurice Bourgue. I solisti veneti, Claudio Scimone	
viv	23	classique	Vivaldi, Antonio	Concerti pour basson. Concerti 5 et 6 Op 8	Robert Thompson. The London Mozart platers, Philip Ledger. Bournemouth sinfonietta, Ronald Thomas	
viv	25	classique	Vivaldi, Antonio	Musique sacrée vol. 1	John Alldis choir, English chamber orchestra, Vittorio Negri	
viv	4	classique	Vivaldi, Antonio	Gloria Magnificat Kyrie Credo	Ensemble Vocal, Ensemble Instrumental, et Orchestre de Chambre de Lausanne, Miche Corboz	Manque la 4ème de couverture
viv	2	classique	Vivaldi, Antonio	Motets	Cecilia Gasdia. i solosti veneti, Claudio Scimone	
viv	34	classique	Vivaldi, Antonio	Concerti da camera vol. 4	Il Giardino Armonico	
viv	29	classique	Vivaldi, Antonio	Vêpres pour la nativité de la Vierge	Lynne Dawson, James Bowman, John Elwes, Steven Varcoe. La maîtrise boréale, La grande écurie et la chambre du roy, Jean-Claude Malgoire	2 CD
wag	21	opera	Wagner, Richard	Die Walküre		
wag	13	classique	Wagner, Richard	Préludes et ouvertures : die Meistersinger, Tristan und Isolde, Tannhäuser, der fliegende Holländer	the Cleveland orchestra, Geoge Szell	
wag	14	classique	Wagner, Richard	Ouvertures : der fliegende Holländer, Tannhäuser, die Meistersinger von Nürnberg, Tristan und Isolde	Chicago Symphony Orchestra, Sir Georg Solti	
wag	8	classique	Wagner, Richard	Tristan und Isolde, Tannhäuser, Die Meistersinger von Nürnberg (extraits)	Berliner Philharmoniker, Karajan	
wag	22	opera	Wagner, Richard	Airs d'opéra : Tannhäuser, Siegfried, Götterdämmerung, Tristan und Isolde, Wesendonk lieder	Kirsten Flagstad. Philharmonia Orchestra	
wag	1	opera	Wagner, Richard	Tristan und Isolde	Peter Hofmann, Hioldegard Behrens, Yvonne Minton, Bernd Weikl. Choeur et orchestre de la radio bavaroise, Leonard Bernstein	
vhw	2	classique	Vaughan Williams, Ralph	Tallis Fantasia, Concerto pour hautbois, etc..	Maurice Bourgue. English String orchestra, William Boughton	
walt	2	classique	Walton, William	Symphonie n°1, Concerto pour violoncelle	Lynn Harrel. City of Birmingham Symphony Orchestra, Simon Rattle	
vhw	4	classique	Vaughan Williams - Britten	Concertos pour violon, Simple symphony for string orchestra	Nora Grumlikova. Prague symphony orchestra, Peter Maag	
vhw	3	classique	Vaughan Williams, Ralph	Divers	Corydon singers, english chamber orchestra, Matthew Best	
walt	1	classique	Walton, William	Variations sur un thème d'Hindemith, Symphonie n°2, Partita pour orchestre	The Cleveland orchestra, George Szell	
walt	3	classique	Walton - Elgar	Concertos pour violon	Salvatire Accardo. London symphony orchestra, Richard Hickox	
wir	1	classique	Wiren, Dag	Serenade for String orchestra, Sinfonietta, Symphonie n°4, Music for String Orchestra	Divers orchestres	
wid	1	classique	Widor, Charles-Marie	Symphonie n°5, Mystique, Marche pontificale	Westminster Cathedral Organ, David Hill	
bor	2	classique	Borodine, 	Symphonies 1 & 3	Evgueni Svetlanov	
bor	3	classique	Borodine, 	Symphonie N° 2 - Danses Polovtsiennes	Evgueni Svetlanov	
bor	4	classique	Borodine, Tchaikovski	Borodine : Quatuor N° 2 ; Tchaikovski : Quatuor N° 1	Quatuor Talich	
bou	1	classique	Boulez, Messiaen	Le marteau sans maître - Sonatine - 7 Haïkaï	Pierre Boulez	
bou	3	classique	Boulez, Pierre	Domaines	Ensemble Musique Vivante, Diego Masson	
bou	5	classique	Boulez, Pierre	Rituel in memoriam Bruno Maderna - Eclat - Multiples	Ensemble InterContemporain - BBC Symphony Orchestra	
bou	6	classique	Boulez, Pierre	Le visage nuptial/Le soleil des eaux - Figures, Doubles, Prismes	Pierre Boulez	
bou	7	classique	Boulez, Pierre	Sonatine pour flûte et piano et autres oeuvres	Sophie Cherrier, Pierre-Laurent Aimard, Pierre Boulez	
boug	1	classique	Boughton, Rutland	Symphonie N° 3 - Concerto pour hautbois	Sarah Francis, Vernon Handley	
boul	1	classique	Boulanger, Lili	Du fond de l'abîme - Psaumes 24 & 129 - Vieille prière bouddhique - Pie Jesu - 3 pièces pour violon et piano	Orchestre de l'Association des Concerts Lamoureux, Igor Markevitch	
bouz	1	classique	Bouzignac, Guillaume	Les Pages de la Chapelle	Les Arts Florissants, William Christie	
bra	1	classique	Brahms, Johannes	Symphonie N° 1	Los Angeles Philharmonic Orchestra, Carlo Maria Giulini	
bra	2	classique	Brahms, Johannes	Concerto pour piano N° 1	Vladimir Ashkenazy, Bernard Haitink	
bra	3	classique	Brahms, Johannes	Concerto pour violon	Anne-Sophie Mutter, Herbert von Karajan	
bra	4	classique	Brahms, Johannes	Les deux sonates pour violoncelle et piano	Rama Jucker, Werner Giger	
bra	5	classique	Brahms, Schubert	4 Ballades Op. 10, sonate pour piano D 537	Arturo Benedetti Michelangeli	
bra	6	classique	Brahms, Johannes	Symphonie N° 2	Los Angeles Philharmonic Orchestra, Carlo Maria Giulini	
bra	7	classique	Brahms, Johannes	Symphonie N° 4	Wiener Philharmoniker, Carlos Kleiber	
bra	8	classique	Brahms, Johannes	21 Dances Hongroises	Wiener Philharmoniker, Claudio Abbado	
bra	11	classique	Brahms, Johannes	Les trois sonates pour piano et violon	Nell Gotkovsky, Ivar Gotkovsky	Piste 4 abîmée
bra	12	classique	Brahms, Johannes	Quintette avec piano en fa mineur	André Prévin, Musikvereinsquartett	
bra	13	classique	Brahms, Schumann	Brahms : les trois trios avec piano - Schumann : trio avec piano Op. 63	Israël piano trio	boîte cassée
bra	14	classique	Brahms, Johannes	Quintette avec clarinette	Karl Leister, Vermeer-Quartett	
bra	16	classique	Brahms, Johannes	Concerto pour piano N° 2	Krystian Zimerman - Leonard Bernstein	
web	6	classique	Weber, Carl Maria von	2 concertos pour clarinette	Paul Meyer. Royal philharmonic orchestra, Günther Herbig	
webn	1	classique	Webern, Anton	L'intégrale pour quatuor à cordes	Quartetto italiano	
web	1	classique	Weber, Carl Maria von	Concerti pour clarinette 1 et 2, concertino pour clarinette	Eduard Brunner. Bamberger Symphoniker, Oleg Caetani	
webn	2	classique	Webern, Anton	Pièces pour orchestre	Berliner Philharmoniker, Karajan	
web	4	classique	Weber, Carl Maria von	Symphonies n°1 et 2	Orchestre symphonique de la radio bavaroise, Wolfgang Sawallisch	
web	5	classique	Weber, Carl Maria von	Invitation à la valse - Ouvertures	Berliner Philharmoniker, Karajan	
web	3	classique	Weber, Carl Maria von	Quintette pour clarinette et cordes - Introduction, thème et variations - Grand duo concertant pour clarinette et piano	Guy Dangain, Trio à cordes de Paris	
weil	1	opera	Weill, Kurt	L'opéra de quat'sous (extraits)	Lotte Lenya	
weil	3	classique	Weill, Kurt	Les sept péchés capitaux. Happy end.	Lotte Lenya. Male quartet and orchestra	
weil	2	opera	Weill, Kurt	L'opéra de quat'sous	Lotte Lenya. Direction : Wilhelm Brückner-Rüggeberg	Coffret
wol	1	classique	Wolf, Hugo	Lieder	Peter Schreier - Wolfgang Sawallisch	
wol	3	classique	Wolf, Hugo	Lieder	Dietrich Fischer-Dieskau, Daniel Barenboim	Coffret 6 CD
wol	2	classique	Wolf, Hugo	Italienisches Liederbuch	Elisabeth Schwarzkopf, Dietrich Fischer-Dieskau, Gerald Moore	
wol	4	classique	Wolf, Hugo	Spanisches Liederbuch	Elisabeth Schwarzkopf, Dietrich Fischer-Dieskau, Gerald Moore	2 CD
xen	1	classique	Xenakis - Messian	Evryali, Herma - Quatre études de rythme	Yuji Takahashi	
xen	3	classique	Xenakis, Iannis	Naama, A l'ile de Gorée, Khoaï, Komboï	Elisabeth Chojnacka, ensemble Kenakis, Huub Kerstens, Sylvio Gualda	
xen	5	classique	Xenakis, Iannis	Oresteïa	Divers choeurs et ensembles, Spiros Sakkas, Sylvio Gualda, Robert Weddle	
xen	6	classique	Xenakis, Iannis	Palimpsest, Epei, Dikhthas, Akanthos	Penelope Walmsley-Clark. Spectrum, Guy Protheroe	
yep	1	interprete	Divers compositeurs	Pièces pour guitare	Narciso Yepes	
ysa	1	classique	Ysaÿe, Eugène	Six sonates pour violon seul	Yuval Yaron	
zem	1	classique	Zemlinski, Alexander	Lyrische Symphonie	Julia Varady, Dietrich Fisher-Dieskau. Berliner Philharmoniker, Lorin Maazel	
zimm	1	classique	Zimmermann, Bernd Alois	Requiem für einen jungen Dichter		Coffret
zimm	2	classique	Zimmermann, Bernd Alois	Canto di speranza, Conerto pour violoncelle, concerto pour hautbois, concerto pour trompette	Heinrich Schiff, Heinz Holliger, Hakan Hardenberger. SWF Sinfonieorchester Baden-Baden, Michael Gielen	
zem	2	classique	Zemlinski, Alexander	Les quatuors à cordes	Quatuor Lasalle	2 CD
bee	1	classique	Beethoven, Ludwig von	5ème symphonie	Los Angeles Philarmonic Orchestra - Carlo Maria Giulini	
bee	2	classique	Beethoven, Ludwig von	sonates pour violon n°9 (Kreutzer) et 5 (le Printemps)	Itzhak Perlman - Vladimir Ashkenazy	
bee	3	classique	Beethoven, Ludwig von	sonates pour violon n° 7 et 10	Itzakh Perlman - Vladimir Ashkenazy	
bee	9	classique	Beethoven / Schumann	sonate pour piano op 111 / Etudes symphoniques - Toccata	Ivo Pogorelitch	
bee	10	classique	Beethoven, Ludwig von	concerto pour piano n°5 "Empereur"	Arthur Rubinstein - London Philarmonic Orchestra - Daniel Barenboim	
bee	11	classique	Beethoven, Ludwig von	symphonie n°3 "Héroïque" - ouverture "Egmont"	Berliner Philarmoniker - Karajan	
bee	12	classique	Beethoven, Ludwig von	Quatuors à cordes op 18 n°1,3,4 op 59 n°1 op 74 op 127 op 130 op 131	Alban Berg Quartett	4 CD
bee	13	classique	Beethoven, Ludwig von	symphonie n°6 "Pastorale" - ouverture "Leonore III"	Wiener Philarmoniker - Leonard Bernstein	
bee	14	classique	Beethoven, Ludwig von	sonates pour piano n° 29 et 24	Alfred Brendel	
bee	15	classique	Beethoven, Ludwig von	trios avec piano "Fantôme" et "l'Archiduc"	Menahem Pressler - Isidore Cohen - Bernard Greenhouse	
bee	16	classique	Beethoven, Ludwig von	quatuors à cordes op 130 et 133	Vermeer Quartett	
bee	17	classique	Beethoven, Ludwig von	symphonie n°8 - ouvertures "Fidelio" "Leonore III" "Coriolan"	Berliner Philarmoniker - Karajan	
bee	18	classique	Beethoven, Ludwig von	sonates pour violoncelle n° 1 et 2	Yo-Yo Ma - Emanuel Ax	
bee	19	classique	Beethoven, Ludwig von	quatuors à cordes op 131 et op 59 n°3	Quatuor Talich	
bee	20	classique	Beethoven, Ludwig von	sonates pour piano n°21 "Waldstein" et 30 - Andante favori	Claudio Arrau	
bra	17	classique	Brahms, Johannes	Fantaisies Op. 116 - Intermezzi Op. 117 - Klavierstücke Op. 118 & 119	Mikhail Rudy	
